cluster	type	slug	path	period_or_date_earliest	period_or_date_latest	inlinks
greek-roman	deity	zeus	03_deities/zeus.md	-1500	400	138
greek-roman	deity	isis-egyptian	03_deities/isis-egyptian.md	-2400	600	135
greek-roman	deity	sophia-gnostic	03_deities/sophia-gnostic.md	100	400	111
greek-roman	deity	mary-theotokos	03_deities/mary-theotokos.md	30	2026	89
greek-roman	deity	hermes-greek	03_deities/hermes-greek.md	-1400	400	84
greek-roman	deity	dionysus	03_deities/dionysus.md	-1400	400	83
greek-roman	deity	apollo	03_deities/apollo.md	-1200	400	79
greek-roman	deity	demeter	03_deities/demeter.md	-1400	400	69
greek-roman	doc	phase-4-011-corpus-hermeticum-i	02_documents/_phase-4-late-antiquity/phase-4-011-corpus-hermeticum-i.md	100	300	126
greek-roman	doc	phase-4-002-apocryphon-of-john	02_documents/_phase-4-late-antiquity/phase-4-002-apocryphon-of-john.md	150	200	117
greek-roman	doc	phase-2-009-hesiod-theogony-works-and-days	02_documents/_phase-2-axial-age/phase-2-009-hesiod-theogony-works-and-days.md	-730	-680	110
greek-roman	doc	phase-3-002-plato-dialogues	02_documents/_phase-3-hellenistic-second-temple/phase-3-002-plato-dialogues.md	-385	-360	108
greek-roman	doc	phase-3-016-gospel-of-mark	02_documents/_phase-3-hellenistic-second-temple/phase-3-016-gospel-of-mark.md	65	75	97
greek-roman	doc	phase-3-013-philo-of-alexandria	02_documents/_phase-3-hellenistic-second-temple/phase-3-013-philo-of-alexandria.md	10	50	88
greek-roman	doc	phase-3-017-gospel-of-matthew	02_documents/_phase-3-hellenistic-second-temple/phase-3-017-gospel-of-matthew.md	80	95	80
egyptian	deity	osiris	03_deities/osiris.md	-2400	500	204
egyptian	deity	hermes-trismegistus	03_deities/hermes-trismegistus.md	-200	1700	135
egyptian	deity	ra	03_deities/ra.md	-3000	500	130
egyptian	deity	thoth	03_deities/thoth.md	-2600	400	120
egyptian	deity	horus	03_deities/horus.md	-3100	400	79
egyptian	deity	ma-at	03_deities/ma-at.md	-2400	500	63
egyptian	deity	atum	03_deities/atum.md	-2700	400	53
egyptian	deity	amun	03_deities/amun.md	-2100	400	51
egyptian	doc	phase-1-002-pyramid-texts	02_documents/_phase-1-ancient-near-east/phase-1-002-pyramid-texts.md	-2400	-2150	158
egyptian	doc	phase-1-010-book-of-the-dead	02_documents/_phase-1-ancient-near-east/phase-1-010-book-of-the-dead.md	-1550	-50	134
egyptian	doc	phase-1-009-coffin-texts	02_documents/_phase-1-ancient-near-east/phase-1-009-coffin-texts.md	-2100	-1700	91
egyptian	doc	phase-1-011-great-hymn-to-aten	02_documents/_phase-1-ancient-near-east/phase-1-011-great-hymn-to-aten.md	-1353	-1336	50
egyptian	doc	phase-1-012-amarna-letters	02_documents/_phase-1-ancient-near-east/phase-1-012-amarna-letters.md	-1360	-1332	37
egyptian	doc	phase-4-026-origen-on-first-principles	02_documents/_phase-4-late-antiquity/phase-4-026-origen-on-first-principles.md	220	230	33
egyptian	doc	phase-4-003-gospel-of-truth	02_documents/_phase-4-late-antiquity/phase-4-003-gospel-of-truth.md	140	180	33
indic	deity	indra	03_deities/indra.md	-1500	500	122
indic	deity	vishnu	03_deities/vishnu.md	-1200	2026	102
indic	deity	shiva	03_deities/shiva.md	-1500	2026	100
indic	deity	krishna	03_deities/krishna.md	-400	2025	46
indic	deity	saraswati	03_deities/saraswati.md	-1500	2025	43
indic	deity	avalokitesvara	03_deities/avalokitesvara.md	-100	2025	41
indic	deity	soma	03_deities/soma.md	-1500	0	39
indic	deity	yama-vedic	03_deities/yama-vedic.md	-1500	2026	35
indic	doc	phase-2-001-rig-veda-family-books	02_documents/_phase-2-axial-age/phase-2-001-rig-veda-family-books.md	-1500	-1200	101
indic	doc	phase-5-029-bardo-thodol	02_documents/_phase-5-medieval/phase-5-029-bardo-thodol.md	750	1400	59
indic	doc	phase-5-002-heart-sutra	02_documents/_phase-5-medieval/phase-5-002-heart-sutra.md	400	700	59
indic	doc	phase-2-016-early-buddhist-suttas	02_documents/_phase-2-axial-age/phase-2-016-early-buddhist-suttas.md	-500	-350	52
indic	doc	phase-2-017-mahabharata-ramayana-oral-layers	02_documents/_phase-2-axial-age/phase-2-017-mahabharata-ramayana-oral-layers.md	-400	400	46
indic	doc	phase-2-012-brihadaranyaka-upanishad	02_documents/_phase-2-axial-age/phase-2-012-brihadaranyaka-upanishad.md	-800	-600	46
indic	doc	phase-5-004-platform-sutra-huineng	02_documents/_phase-5-medieval/phase-5-004-platform-sutra-huineng.md	780	1290	37
abrahamic	deity	yahweh	03_deities/yahweh.md	-1300	0	118
abrahamic	deity	jesus-christ-deity	03_deities/jesus-christ-deity.md	30	2026	97
abrahamic	deity	ein-sof	03_deities/ein-sof.md	1200	2025	78
abrahamic	deity	perun	03_deities/perun.md	-500	1100	64
abrahamic	deity	allah	03_deities/allah.md	-500	2025	56
abrahamic	deity	asherah	03_deities/asherah.md	-2500	-600	41
abrahamic	deity	satan-christian	03_deities/satan-christian.md	-300	null	39
abrahamic	deity	veles	03_deities/veles.md	-500	1100	38
abrahamic	doc	phase-4-034-quran	02_documents/_phase-4-late-antiquity/phase-4-034-quran.md	610	632	170
abrahamic	doc	phase-3-015-pauline-epistles	02_documents/_phase-3-hellenistic-second-temple/phase-3-015-pauline-epistles.md	50	58	160
abrahamic	doc	phase-3-020-gospel-of-john	02_documents/_phase-3-hellenistic-second-temple/phase-3-020-gospel-of-john.md	90	110	136
abrahamic	doc	phase-3-004-1-enoch	02_documents/_phase-3-hellenistic-second-temple/phase-3-004-1-enoch.md	-300	-100	130
abrahamic	doc	phase-3-018-luke-acts	02_documents/_phase-3-hellenistic-second-temple/phase-3-018-luke-acts.md	80	100	116
abrahamic	doc	phase-2-005-hebrew-bible-j-source	02_documents/_phase-2-axial-age/phase-2-005-hebrew-bible-j-source.md	-950	-850	107
abrahamic	doc	phase-4-019-plotinus-enneads	02_documents/_phase-4-late-antiquity/phase-4-019-plotinus-enneads.md	253	270	106
