id	title	stripped_match	sim	extract_head
phase-6-022-fludd-utriusque-cosmi-historia	Utriusque Cosmi Historia	Robert Fludd	0.06	Robert Fludd, also known as Robertus de Fluctibus, was a prominent English Paracelsian physician with both scientific an
phase-5-046-ibn-rushd-tahafut-al-tahafut	Tahāfut al-Tahāfut (The Incoherence of the Incoher	Averroes	0.08	Ibn Rushd, Latinized as Averroes, was an Andalusian polymath and jurist who was proficient in a variety of intellectual 
phase-5-010-saadia-emunot-ve-deot	Emunot ve-Deot (The Book of Beliefs and Opinions)	Saadia Gaon	0.08	Saʿadia ben Yosef Gaon or Said bin Yusuf al-Fayyumi (892–942) was a prominent rabbi, gaon, Jewish philosopher, and exege
phase-2-033-shujing	Shujing (Book of Documents)	Book of Documents	0.08	The Book of Documents or the Classic of History, is one of the Five Classics of ancient Chinese literature. It is a coll
phase-5-059-rasail-al-hikma	Rasāʾil al-Ḥikma	Druze	0.1	The Druze, who call themselves al-Muwaḥḥidūn, are an esoteric religious group of Arabs who adhere to the Druze faith, an
phase-3-013-philo-of-alexandria	Philo of Alexandria — On the Creation, Allegorical	Philo	0.1	Philo of Alexandria, also called Philō Judæus, was a Hellenistic Jewish philosopher who lived in Alexandria, in the Roma
phase-4-008-trimorphic-protennoia	Trimorphic Protennoia	Nag Hammadi library	0.1	The Nag Hammadi library is a collection of early Christian and Gnostic texts discovered near the Upper Egyptian town of 
phase-4-024-tertullian-apology	Apology	Tertullian	0.12	Tertullian was a prolific early Christian author from Carthage in the Roman province of Africa. He was the first Christi
phase-6-034-khunrath-amphitheatrum-sapientiae	Amphitheatrum Sapientiae Aeternae (Amphitheatre of	Heinrich Khunrath	0.12	Heinrich Khunrath, or Dr. Henricus Khunrath as he was also called, was a German physician, hermetic philosopher, and alc
phase-6-043-dee-libri-mysteriorum-enochian	Libri Mysteriorum — Dee's Angelic Conversations an	John Dee	0.13	John Dee was an English mathematician, astronomer, teacher, astrologer, occultist, and alchemist. He was the court astro
phase-5-005-shankara-brahma-sutra-bhasya	Brahma-Sutra-Bhasya (Śaṅkara)	Adi Shankara	0.13	Adi Shankara, also called Adi Shankaracharya, was an Indian Vedic scholar-monk, philosopher, and teacher (acharya) of Ad
phase-6-003-pico-oration-900-conclusions	Oration on the Dignity of Man + 900 Conclusions	Giovanni Pico della Mirandola	0.13	Giovanni Pico della Mirandola was an Italian Renaissance nobleman and philosopher. He is famed for the events of 1486, w
phase-1-025-shujing	Shujing (Book of Documents / Classic of History)	History of East Africa	0.14	The history of East Africa has been divided into its prehistory, the major polities flourishing, the colonial period, an
phase-6-018-rosicrucian-manifestos	Fama Fraternitatis + Confessio Fraternitatis	Rosicrucianism	0.14	Rosicrucianism is a spiritual and cultural movement influenced by Esoteric Christianity and Hermeticism that arose in ea
phase-4-072-plutarch-de-iside-et-osiride	De Iside et Osiride (On Isis and Osiris)	Plutarch	0.15	Plutarch was a Greek and later Roman Middle Platonist philosopher, historian, biographer, essayist, and priest at the Te
phase-7-039-gandra-da-face-oculta-2009	Da Face Oculta do Rosto da Europa: Prolegómenos a	Hermeticism	0.15	Hermeticism, or Hermetism, is a philosophical and religious tradition rooted in the teachings attributed to Hermes Trism
phase-5-043-ibn-ishaq-sirat-rasul-allah	Sirat Rasul Allah (Life of the Messenger of God —	Muhammad	0.16	Muhammad was an Arab religious, military and political leader, and the founder of Islam. According to Islam, he was the 
phase-1-024-shijing	Shijing (Book of Songs / Classic of Poetry)	Classic of Poetry	0.17	The Classic of Poetry, also Shijing or Shih-ching, translated variously as the Book of Songs, Book of Odes, or simply kn
phase-4-079-coptic-asclepius-nhc-vi-8	Coptic Asclepius (NHC VI,8) — including the Hermet	Nag Hammadi library	0.17	The Nag Hammadi library is a collection of early Christian and Gnostic texts discovered near the Upper Egyptian town of 
phase-5-014-abhinavagupta-tantraloka	Tantrāloka (Light on the Tantras)	Abhinavagupta	0.17	Abhinavagupta was a philosopher, mystic and aesthetician from Kashmir. He was also considered an influential musician, p
phase-5-044-ibn-sina-kitab-al-shifa	Kitāb al-Shifāʾ (The Book of Healing — Avicenna's	Avicenna	0.17	Ibn Sina, commonly known in the West as Avicenna, was a preeminent philosopher and physician of the Muslim world. He was
phase-4-055-ephrem-hymns-on-paradise	Hymns on Paradise (Madrāšē dᵉ-Pardayšā)	Ephrem the Syrian	0.18	Ephrem the Syrian, also known as Ephraem the Deacon, Ephrem of Edessa or Aprem of Nisibis was a prominent Christian theo
phase-4-104-sukhavativyuha-larger	Larger Sukhāvatīvyūha Sūtra (Larger Pure Land Sūtr	Pure Land Buddhism	0.18	Pure Land Buddhism or the Pure Land School is a broad branch of Mahayana Buddhism focused on achieving rebirth in a Pure
phase-8-022-the-sacred-pipe	The Sacred Pipe: Black Elk's Account of the Seven	Ceremonial pipe	0.18	A ceremonial pipe is a particular type of smoking pipe, used by a number of cultures of the Indigenous peoples of the Am
phase-6-004-pico-heptaplus-conclusiones-cabalisticae	Heptaplus + Conclusiones Cabalisticae	Giovanni Pico della Mirandola	0.18	Giovanni Pico della Mirandola was an Italian Renaissance nobleman and philosopher. He is famed for the events of 1486, w
phase-2-008-homeric-epics	Iliad and Odyssey (Homeric Epics)	Homer	0.18	Homer was an ancient Greek poet who is widely credited as the author of the Iliad and the Odyssey, two epic poems that a
phase-4-009-pistis-sophia	Pistis Sophia	Nag Hammadi library	0.19	The Nag Hammadi library is a collection of early Christian and Gnostic texts discovered near the Upper Egyptian town of 
phase-6-048-basil-valentine-twelve-keys	Zwölf Schlüssel / Les Douze Clefs de Philosophie (	Basil Valentine	0.19	Basil Valentine is the Anglicised version of the name Basilius Valentinus, ostensibly a 15th-century alchemist, possibly
phase-7-017-psychology-and-alchemy	Psychology and Alchemy	Carl Jung	0.19	Carl Gustav Jung was a Swiss psychiatrist, psychotherapist, and psychologist who founded the school of analytical psycho
phase-4-010-sophia-of-jesus-christ	Sophia of Jesus Christ	Nag Hammadi library	0.2	The Nag Hammadi library is a collection of early Christian and Gnostic texts discovered near the Upper Egyptian town of 
phase-3-002-plato-dialogues	Plato's Theological and Cosmological Dialogues (Ti	Plato	0.2	Plato was an ancient Greek philosopher of Classical Athens who is most commonly considered the foundational thinker of t
phase-6-007-luther-bondage-of-will	De Servo Arbitrio (On the Bondage of the Will)	Martin Luther	0.2	Martin Luther was a German priest, theologian, author, hymnwriter, professor, and former Augustinian friar. Luther was t
phase-6-015-luria-vital-etz-chayyim	Etz Chayyim (Tree of Life) — Lurianic Kabbalah tra	Isaac Luria	0.2	Isaac ben Solomon Ashkenazi Luria, commonly known in Jewish religious circles as Ha'ari, Ha'ari Hakadosh or Arizal, was 
phase-6-002-ficino-theologia-platonica	Theologia Platonica de immortalitate animorum	Marsilio Ficino	0.2	Marsilio Ficino was an Italian scholar and Catholic priest who was one of the most influential humanist philosophers of 
phase-7-022-sacred-and-profane	The Sacred and the Profane	Mircea Eliade	0.21	Mircea Eliade was a Romanian historian of religion, fiction writer, philosopher, and professor at the University of Chic
phase-6-045-sendivogius-novum-lumen-chymicum	Novum Lumen Chymicum (New Light of Alchemy)	Michael Sendivogius	0.21	Michael Sendivogius was a Polish alchemist, philosopher, and physician. A pioneer of chemistry, he developed ways of pur
phase-5-036-mashafa-mistir-giyorgis	Mashafa Mistir (Book of the Mystery) — Giyorgis of	Ethiopian Orthodox Tewahedo Church	0.21	The Ethiopian Orthodox Tewahedo Church, also sometimes known as the Abyssinian Church or the Church of Abyssinia, is the
phase-4-075-mulamadhyamakakarika	Mūlamadhyamakakārikā (Root Verses on the Middle Wa	Nagarjuna	0.21	Nāgārjuna was a philosopher and Mahāyāna Buddhist monk from South India, considered the founder of the Madhyamaka school
phase-7-012-major-trends-jewish-mysticism	Major Trends in Jewish Mysticism	Gershom Scholem	0.21	Gershom Scholem was an Israeli philosopher and historian. Widely regarded as the founder of modern academic study of the
phase-7-027-life-divine	The Life Divine	Sri Aurobindo	0.21	Sri Aurobindo was an Indian philosopher, yogi and nationalist, who is noted for his participation in the movement for In
phase-7-008-book-of-the-law	Liber AL vel Legis (The Book of the Law)	The Book of the Law	0.22	Liber AL vel Legis, commonly known as The Book of the Law, is the central sacred text of Thelema. The book is often refe
phase-2-016-early-buddhist-suttas	Early Buddhist Suttas — Sutta Nipāta (Aṭṭhakavagga	Pali Canon	0.22	The Pāḷi Canon is the standard collection of scriptures in the Theravada Buddhist tradition, as preserved in the Pāli la
phase-5-038-mashafa-berhan	Mashafa Berhan (Book of Light) — Zar'a Ya'qob	Ethiopian Orthodox Tewahedo Church	0.22	The Ethiopian Orthodox Tewahedo Church, also sometimes known as the Abyssinian Church or the Church of Abyssinia, is the
phase-7-021-patterns-comparative-religion	Patterns in Comparative Religion	Mircea Eliade	0.22	Mircea Eliade was a Romanian historian of religion, fiction writer, philosopher, and professor at the University of Chic
phase-7-016-magick-in-theory-and-practice	Magick in Theory and Practice	Aleister Crowley	0.22	Aleister Crowley was an English occultist, ceremonial magician, poet, novelist, mountaineer, and painter. He founded the
phase-7-038-guenon-symbols-sacred-science	Symbols of Sacred Science (Symboles fondamentaux d	René Guénon	0.22	René Jean-Marie-Joseph Guénon, also known as Abdalwahid Yahia, was a French-Egyptian intellectual who wrote on topics ra
phase-5-061-kiteba-cilwe	Kitêba Cilwe and Mishefa Reş	Yazidis	0.23	Yazidis, also spelled Yezidis, are a Kurdish-speaking endogamous religious group indigenous to Kurdistan, a geographical
phase-5-049-bodhicaryavatara	Bodhicaryāvatāra (Way of the Bodhisattva)	Shantideva	0.23	Shantideva was an 8th-century CE Indian philosopher, Buddhist monk, poet, and scholar at the mahavihara of Nalanda. He w
phase-6-006-reuchlin-de-arte-cabalistica	De Arte Cabalistica	Johann Reuchlin	0.24	Johann Reuchlin, sometimes called Johannes, was a German Catholic humanist and a scholar of Greek and Hebrew, whose work
phase-6-009-agrippa-de-occulta-philosophia	De Occulta Philosophia Libri Tres	Heinrich Cornelius Agrippa	0.24	Heinrich Cornelius Agrippa von Nettesheim was a German Renaissance polymath, physician, legal scholar, soldier, knight, 
phase-5-057-ibn-rushd-aristotle-commentaries	Ibn Rushd's Aristotle Commentaries (Three-Tier Sys	Averroes	0.24	Ibn Rushd, Latinized as Averroes, was an Andalusian polymath and jurist who was proficient in a variety of intellectual 
phase-5-011-rasail-ikhwan-al-safa	Rasāʾil Ikhwān al-Ṣafāʾ (Epistles of the Brethren	Brethren of Purity	0.24	The Brethren of Purity, also known as The Brethren of Sincerity, were a secret society active during the reign of the Bu
phase-4-057-allogenes	Allogenes the Stranger	Nag Hammadi library	0.24	The Nag Hammadi library is a collection of early Christian and Gnostic texts discovered near the Upper Egyptian town of 
phase-5-039-jabir-corpus-arabic-alchemy	Jabirian Corpus — Arabic Alchemical Literature	Jabir ibn Hayyan	0.26	Abū Mūsā Jābir ibn Ḥayyān, died c. 806−816, is the purported author of a large number of works in Arabic, often called t
phase-4-073-tabula-smaragdina	Tabula Smaragdina (Emerald Tablet)	Emerald Tablet	0.26	   The Emerald Tablet, also known as the Smaragdine Table or the Tabula Smaragdina, is a compact and cryptic text tradit
phase-4-052-gregory-dialogues	Dialogues on the Miracles of the Italian Fathers	Pope Gregory I	0.26	Pope Gregory I, commonly known as Saint Gregory the Great, was the 64th Bishop of Rome from 3 September 590 until his de
phase-8-023-gayanashagowa	Gayanashagowa (The Great Law of Peace)	Great Law of Peace	0.26	Among the Haudenosaunee the Great Law of Peace, also known as Gayanashagowa, is the oral constitution of the Iroquois Co
phase-5-040-meqabyan-ethiopian-maccabees	Meqabyan I–III (Ethiopian Maccabees)	Maccabees	0.26	The Maccabees, also spelled Machabees, were a group of Jewish rebel warriors who re-took control of Judea, which at the 
phase-5-021-ibn-arabi-fusus-al-hikam	Fuṣūṣ al-Ḥikam (The Bezels of Wisdom)	Ibn Arabi	0.26	Ibn 'Arabī was a Sunni Muslim Arab scholar, Sufi mystic, poet, and Muslim philosopher from al-Andalus, who exercised not
phase-7-013-gnostic-religion	The Gnostic Religion	Hans Jonas	0.27	Hans Jonas was a German and American philosopher. From 1955 to 1976 he was the Alvin Johnson Professor of Philosophy at 
phase-6-040-bandarra-trovas	Trovas do Bandarra	Sebastianism	0.27	Sebastianism is a Portuguese messianic myth, based on the belief that King Sebastian of Portugal, who disappeared in the
phase-6-025-nathan-of-gaza-treatise-on-dragons	Drush ha-Tanninim (Treatise on the Dragons) + Sabb	Nathan of Gaza	0.27	Nathan Benjamin ben Elisha Hayyim haLevi Ashkenazi, more famously known as Nathan of Gaza, or Ghazzati, was a theologian
phase-6-027-swedenborg-arcana-heaven-and-hell	Arcana Coelestia + Heaven and Hell	Emanuel Swedenborg	0.27	Emanuel Swedenborg was a Swedish polymath; a scientist, engineer, astronomer, anatomist, Christian theologian, philosoph
phase-7-009-outline-of-esoteric-science	An Outline of Esoteric Science	Rudolf Steiner	0.27	Rudolf Joseph Lorenz Steiner was an Austrian New Age guru, philosopher, occultist, social reformer, architect, esoterici
phase-5-028-meister-eckhart-sermons	German Sermons (Meister Eckhart)	Meister Eckhart	0.28	Eckhart von Hochheim, commonly known as Meister Eckhart, Master Eckhart or Eckehart, claimed original name Johannes Eckh
phase-6-017-boehme-aurora-mysterium-magnum	Aurora + Mysterium Magnum	Jakob Böhme	0.28	Jakob Böhme was a German philosopher, Christian mystic, and Lutheran Protestant theologian. He was considered an origina
