path	doc_id	corpus_keys	source	confidence	sub_tradition
02_documents/_phase-1-ancient-near-east/document-kuntillet-ajrud-inscriptions.md	document-kuntillet-ajrud-inscriptions	israelite-religion	scripture-corpora	high	Northern Kingdom folk cult (Samarian Yahwism)
02_documents/_phase-1-ancient-near-east/phase-1-001-kesh-temple-hymn.md	phase-1-001-kesh-temple-hymn	mesopotamian	scripture-corpora	high	Sumerian temple-hymn tradition
02_documents/_phase-1-ancient-near-east/phase-1-002-pyramid-texts.md	phase-1-002-pyramid-texts	egyptian-scripture	scripture-corpora	high	Old Kingdom royal funerary religion
02_documents/_phase-1-ancient-near-east/phase-1-003-enheduanna-hymns.md	phase-1-003-enheduanna-hymns	mesopotamian	scripture-corpora	high	Sargonic-era temple religion; Inanna cult
02_documents/_phase-1-ancient-near-east/phase-1-004-gilgamesh-old-babylonian.md	phase-1-004-gilgamesh-old-babylonian	mesopotamian	scripture-corpora	high	Old Babylonian literary tradition
02_documents/_phase-1-ancient-near-east/phase-1-005-instructions-of-shuruppak.md	phase-1-005-instructions-of-shuruppak	mesopotamian-canonical	inferred:Mesopotamian	medium	Mesopotamian wisdom literature
02_documents/_phase-1-ancient-near-east/phase-1-006-atrahasis.md	phase-1-006-atrahasis	mesopotamian	scripture-corpora	high	Old Babylonian narrative literature
02_documents/_phase-1-ancient-near-east/phase-1-007-code-of-hammurabi.md	phase-1-007-code-of-hammurabi	mesopotamian-canonical	inferred:Mesopotamian	medium	Old Babylonian royal law / Marduk-mediated kingship theology
02_documents/_phase-1-ancient-near-east/phase-1-008-enuma-elish.md	phase-1-008-enuma-elish	mesopotamian	scripture-corpora	high	Babylonian state theology — Marduk cult
02_documents/_phase-1-ancient-near-east/phase-1-009-coffin-texts.md	phase-1-009-coffin-texts	egyptian-scripture	scripture-corpora	high	Middle Kingdom mortuary religion
02_documents/_phase-1-ancient-near-east/phase-1-010-book-of-the-dead.md	phase-1-010-book-of-the-dead	egyptian-scripture	scripture-corpora	high	New Kingdom mortuary religion
02_documents/_phase-1-ancient-near-east/phase-1-011-great-hymn-to-aten.md	phase-1-011-great-hymn-to-aten	egyptian-scripture	scripture-corpora	high	Amarna religion / Atenism
02_documents/_phase-1-ancient-near-east/phase-1-012-amarna-letters.md	phase-1-012-amarna-letters	egyptian-scripture	scripture-corpora	high	Late Bronze Age Near Eastern diplomatic correspondence
02_documents/_phase-1-ancient-near-east/phase-1-013-baal-cycle.md	phase-1-013-baal-cycle	canaanite-ugaritic	scripture-corpora	high	Late Bronze Age Canaanite mythology
02_documents/_phase-1-ancient-near-east/phase-1-014-ugaritic-ritual-texts.md	phase-1-014-ugaritic-ritual-texts	canaanite-ugaritic	scripture-corpora	high	Late Bronze Age Canaanite temple ritual
02_documents/_phase-1-ancient-near-east/phase-1-015-sumerian-king-list.md	phase-1-015-sumerian-king-list	mesopotamian-canonical	inferred:Mesopotamian	medium	Sumerian historical-chronographic tradition (Nippur scribal milieu)
02_documents/_phase-1-ancient-near-east/phase-1-016-eridu-genesis-flood.md	phase-1-016-eridu-genesis-flood	mesopotamian	scripture-corpora	high	Sumerian mythological narrative (Nippur scribal-school tradition)
02_documents/_phase-1-ancient-near-east/phase-1-017-descent-of-inanna.md	phase-1-017-descent-of-inanna	mesopotamian	scripture-corpora	high	Sumerian mythological narrative; Inanna-Dumuzi cult-literary cycle
02_documents/_phase-1-ancient-near-east/phase-1-018-gudea-cylinders.md	phase-1-018-gudea-cylinders	mesopotamian-canonical	inferred:Mesopotamian	medium	Sumerian royal-cultic literature (Second Dynasty of Lagash, late Gutian period)
02_documents/_phase-1-ancient-near-east/phase-1-019-enuma-anu-enlil.md	phase-1-019-enuma-anu-enlil	mesopotamian	scripture-corpora	high	Babylonian and Neo-Assyrian celestial-omen scholarship
02_documents/_phase-1-ancient-near-east/phase-1-020-shumma-alu.md	phase-1-020-shumma-alu	mesopotamian-canonical	inferred:Mesopotamian	medium	Babylonian and Neo-Assyrian scholarly omen literature
02_documents/_phase-1-ancient-near-east/phase-1-021-shumma-izbu.md	phase-1-021-shumma-izbu	mesopotamian-canonical	inferred:Mesopotamian	medium	Babylonian and Neo-Assyrian scholarly omen literature
02_documents/_phase-1-ancient-near-east/phase-1-022-lament-for-ur.md	phase-1-022-lament-for-ur	mesopotamian-canonical	inferred:Mesopotamian	medium	Sumerian city-lament genre (one of the five canonical city-laments)
02_documents/_phase-1-ancient-near-east/phase-1-023-shulgi-hymns.md	phase-1-023-shulgi-hymns	mesopotamian-canonical	inferred:Mesopotamian	medium	Ur III royal hymnography (Third Dynasty of Ur, ~-2094 to -2047)
02_documents/_phase-1-ancient-near-east/phase-1-024-shijing.md	phase-1-024-shijing	confucian-classics	scripture-corpora	high	Zhou court and folk poetic anthology
02_documents/_phase-1-ancient-near-east/phase-1-025-shujing.md	phase-1-025-shujing	confucian-classics	scripture-corpora	high	Zhou court documentary corpus
02_documents/_phase-1-ancient-near-east/phase-1-026-yijing.md	phase-1-026-yijing	confucian-classics	scripture-corpora	high	divinatory-cosmological canon
02_documents/_phase-1-ancient-near-east/phase-1-027-memphite-theology-shabaka-stone.md	phase-1-027-memphite-theology-shabaka-stone	egyptian-scripture	scripture-corpora	high	Memphite (Ptah-centric) theology
02_documents/_phase-1-ancient-near-east/phase-1-028-kumarbi-cycle.md	phase-1-028-kumarbi-cycle	hurro-hittite	scripture-corpora	high	Hurrian theology preserved in Hittite imperial archives
02_documents/_phase-1-ancient-near-east/phase-1-029-telipinu-myth.md	phase-1-029-telipinu-myth	hurro-hittite	scripture-corpora	high	Anatolian disappearing-god myth-cycle
02_documents/_phase-1-ancient-near-east/phase-1-030-illuyanka-myth.md	phase-1-030-illuyanka-myth	hurro-hittite	scripture-corpora	high	Anatolian chaoskampf
02_documents/_phase-1-ancient-near-east/phase-1-031-rigveda.md	phase-1-031-rigveda	vedas	scripture-corpora	high	Śrauta / earliest Brahmanical
02_documents/_phase-1-ancient-near-east/phase-1-032-babylonian-theodicy.md	phase-1-032-babylonian-theodicy	mesopotamian-canonical	inferred:Mesopotamian	medium	Babylonian wisdom literature
