file	current_state	tradition	bucket	proposed_latest	notes
adad.md	MISSING_BOTH		NEEDS_BOTH		both fields absent
ah-puch.md	EMPTY_LATEST	Maya paganism (Popol Vuh; Dresden Codex; Diego de Landa's Relación de las cosas de Yucatán)	NEEDS_SCHOLARSHIP	1697	Maya — fall of Itza per Restall 1998
aida-wedo.md	EMPTY_LATEST	[[tradition-vodou-haitian]]	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bVodou
akshobhya.md	EMPTY_LATEST	Mahāyāna Buddhism (esp. Vajrayana)	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bBuddhi
ala-igbo.md	EMPTY_LATEST	[[tradition-igbo-religion]]	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bIgbo
amaterasu.md	EMPTY_LATEST	Shinto	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bShinto
amenominakanushi.md	EMPTY_LATEST	Shinto	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bShinto
amitabha.md	EMPTY_LATEST	Mahayana Buddhism — Pure Land schools	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bBuddhi
ammit-devourer.md	MISSING_BOTH		NEEDS_BOTH		both fields absent
amoghasiddhi.md	EMPTY_LATEST	Mahāyāna Buddhism (Vajrayana)	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bBuddhi
anahita-zoroastrian.md	MISSING_BOTH		NEEDS_BOTH		both fields absent
anansi.md	MISSING_BOTH	Akan (Ashanti) / African	NEEDS_BOTH		both fields absent
angel-of-the-presence.md	EMPTY_LATEST	Second-Temple Jewish apocalyptic (Jubilees-specific) / canonical in [[tradition-ethiopian-orthodox-tewahedo]] (where Jubilees is full scripture)	DETERMINISTIC_2026	2026	Ethiopian Orthodox canon (Jubilees)
apam-napat-vedic.md	MISSING_BOTH	tradition-vedic	NEEDS_BOTH		both fields absent
asase-yaa.md	EMPTY_LATEST	Akan (Asante, Fante, and related Akan peoples)	DETERMINISTIC_2026	2026	matched ACTIVE pattern: \bAkan
asmodeus.md	EMPTY_LATEST	Second Temple Judaism (via Tobit) → Christianity → Kabbalah → modern Solomonic demonology	DETERMINISTIC_2026	2026	Second Temple → Christian/Kabbalah/Solomonic demonology, ongoing
atlas-titan.md	EMPTY_LATEST	Greek religion	NEEDS_SCHOLARSHIP	400	Greek religion — match Zeus/Apollo Theodosian closures
baal.md	MISSING_BOTH	Canaanite / Ugaritic	NEEDS_BOTH		both fields absent
