file	proposed_earliest	proposed_latest	tier1_source	rationale	confidence
atlas-titan.md	-800	400	Trombley 1995 Hellenic Religion and Christianization c. 370–529; Athanassakis 2004 Hesiod: Theogony, Works and Days, Shield (Johns Hopkins UP)	Hesiod Theogony 517-520 (~-700) anchors textual attestation; Titan-tier figure persists in Greek mythological-cultic discourse through Theodosian closures (391-393 CE), matching vault Zeus=400 precedent.	high
iapetus.md	-800	400	West 1997 The East Face of Helicon (Oxford UP); Trombley 1995 Hellenic Religion and Christianization	First attested Hesiod Theogony 134, 507-520; genealogical Titan present in Greek mythography through late antique pagan literature; ends with Theodosian closures, parallel to other Titan-tier figures.	high
mnemosyne.md	-800	400	Graf & Johnston 2007 Ritual Texts for the Afterlife: Orpheus and the Bacchic Gold Tablets (Routledge); Trombley 1995 Hellenic Religion and Christianization	Hesiod Theogony 53-62 + Orphic Gold Tablets (Petelia, Hipponion ~-400) anchor cult; Mnemosyne invoked in Orphic-Pythagorean afterlife ritual through late antiquity; closure 400 CE matches Theodosian terminus.	high
prometheus.md	-800	400	Forsyth 1987 The Old Enemy (Princeton UP); Trombley 1995 Hellenic Religion and Christianization	Hesiod Theogony + Works and Days (~-700) through Aeschylus Prometheus Bound; cultic relevance ends with Theodosian closures. Romantic reception (Shelley/Byron) is literary not cultic — does not extend period-active-latest per schema rule.	high
rhea.md	-800	400	Roller 1999 In Search of God the Mother: The Cult of Anatolian Cybele (UC Press); Beard, North & Price 1998 Religions of Rome vol. 1 (Cambridge UP)	Hesiod attestation; Rhea-Cybele/Magna Mater cult was a state cult in Rome through 4th c. CE; Theodosian decrees close the cult by 391-393 CE.	high
the-erinyes.md	-800	400	Johnston 1999 Restless Dead: Encounters between the Living and the Dead in Ancient Greece (UC Press); Trombley 1995 Hellenic Religion and Christianization	Hesiod Theogony 183-185 + Homer + Aeschylus Eumenides; Areopagus Semnai Theai cult continuous through Roman imperial period until Theodosian shutdown.	high
the-moirai.md	-800	400	West 2007 Indo-European Poetry and Myth (Oxford UP); Trombley 1995 Hellenic Religion and Christianization	Hesiod Theogony 217-219, 904-906 + Plato Republic 617c; Moirai/Parcae invoked in Greek and Roman cultic-poetic practice through late antiquity; closure 400 CE.	high
themis.md	-800	400	Trombley 1995 Hellenic Religion and Christianization; Athanassakis 2004 Hesiod: Theogony (Johns Hopkins UP)	Hesiod + Homeric Hymn to Apollo; Delphic oracular tradition + Themis-cultic memorialization through Roman imperial Iustitia development; ends with Theodosian closures.	high
fortuna.md	-500	400	Champeaux 1982-1987 Fortuna: Le culte de la Fortune à Rome et dans le monde romain (2 vols, École Française de Rome); Beard, North & Price 1998 Religions of Rome vol. 1 (Cambridge UP)	Praeneste Fortuna Primigenia cult attested archaic Roman period; Fortuna Redux imperial cult thrives through 4th c. CE; closes with Theodosian decrees. Boethius (~524) treats Fortuna as literary allegory not cult, so 400 CE is the cult terminus.	high
eileithyia-greek.md	-1400	400	Burkert 1985 Greek Religion (Harvard UP); Trombley 1995 Hellenic Religion and Christianization	Mycenaean Linear B e-re-u-ti-ja (Knossos KN Gg 705, ~-1400) is one of the earliest-attested Greek deities; cult continuous through Roman imperial period until Theodosian closures.	high
