file	class	conviction	origin_family	appearances	raw_tradition
README.md	NO_TRADITION				
abathur.md	SINGULAR	HIGH	Mandaean		Mandaean
abrasax.md	SINGULAR	HIGH	Gnostic		Basilidean Gnosticism
acala.md	MULTI_SAME_FAMILY	HIGH	Buddhist		Mahayana / Vajrayana Buddhism
adad.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Akkadian / Babylonian
adamas-gnostic.md	SINGULAR	HIGH	Gnostic		Gnostic (Sethian — Apocryphon of John, NHC II.1)
adamastor.md	SINGULAR	HIGH	Literary		Portuguese Renaissance literature (literary mythology)
aditi.md	SINGULAR	HIGH	Vedic-Hindu		Vedic (Rigveda — RV 1.89.10)
adonis.md	SINGULAR	HIGH	Greek		Greek
aegir-norse.md	MULTI_SAME_FAMILY	HIGH	Norse		Norse paganism / Germanic
aengus-og.md	SINGULAR	HIGH	Celtic		Irish Celtic
aeshma.md	SINGULAR	HIGH	Zoroastrian		Zoroastrian (daevic / demonic register)
aganju.md	SINGULAR	HIGH	Yoruba-Diaspora		Yoruba religion (Nigeria / Diaspora)
agathos-daimon.md	SINGULAR	HIGH	Hermetic		Greco-Egyptian Hermetic tradition
agni.md	MULTI_SAME_FAMILY	HIGH	Vedic-Hindu		Vedic / Hindu
ah-puch.md	SINGULAR	HIGH	Maya		Maya paganism (Popol Vuh; Dresden Codex; Diego de Landa's Relación de las cosas de Yucatán)
ahti.md	SINGULAR	HIGH	Slavic-Finnic		Finnish paganism (Kalevala; Finnish folk religion)
ahura-mazda.md	SINGULAR	HIGH	Zoroastrian		Zoroastrian
aida-wedo.md	SINGULAR	HIGH	Yoruba-Diaspora		[[tradition-vodou-haitian]]
aine.md	MULTI_SAME_FAMILY	REVIEW	Celtic		Irish Celtic / Munster tradition
aita.md	SINGULAR	HIGH	Etruscan		Etruscan
akshobhya.md	SINGULAR	HIGH	Buddhist		Mahāyāna Buddhism (esp. Vajrayana)
al-haqq.md	SINGULAR	HIGH	Islamic		Sufi Islam — Akbarī school
al-uzza.md	SINGULAR	HIGH	Pre-Islamic-Arabian		Pre-Islamic Arabian (Hijazi, Quraysh, Nabataean — broader North-Arabian)
ala-igbo.md	SINGULAR	HIGH	African		[[tradition-igbo-religion]]
albion.md	SINGULAR	HIGH	Modern-Esoteric		Blakean mythology
allah.md	SINGULAR	HIGH	Islamic		Islam (and pre-Islamic Arabian high-god, with continuity disputed in degree)
allat.md	SINGULAR	HIGH	Pre-Islamic-Arabian		Pre-Islamic Arabian (Nabataean, Palmyrene, Hejazi, broader North-Arabian)
allatu-akkadian.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Akkadian / Babylonian
almaqah.md	SINGULAR	HIGH	Pre-Islamic-Arabian		Pre-Islamic South Arabian (Sabaean)
amadioha.md	SINGULAR	HIGH	African		Igbo
amaterasu.md	SINGULAR	HIGH	Shinto		Shinto
amaunet.md	SINGULAR	HIGH	Egyptian		Egyptian (Hermopolitan theology — the Ogdoad)
ame-no-hohi.md	SINGULAR	HIGH	Shinto		Shinto (Japanese)
ame-no-tajikarao.md	SINGULAR	HIGH	Shinto		Shinto
ame-no-uzume.md	SINGULAR	HIGH	Shinto		Shinto (Japanese)
amenominakanushi.md	SINGULAR	HIGH	Shinto		Shinto
ameretat.md	MULTI_SAME_FAMILY	REVIEW	Zoroastrian		Zoroastrian (Avestan and Pahlavi); the sixth of the six Amesha Spentas; feminine
amitabha.md	SINGULAR	HIGH	Buddhist		Mahayana Buddhism — Pure Land schools
amma-dogon.md	SINGULAR	HIGH	African		Dogon religion (West African — Mali/Burkina Faso)
ammit-devourer.md	SINGULAR	HIGH	Egyptian		Egyptian"   # assigned (membership-vs-wire 2026-06-02)
amoghasiddhi.md	SINGULAR	HIGH	Buddhist		Mahāyāna Buddhism (Vajrayana)
amphitrite.md	SINGULAR	HIGH	Greek		Greek
amun-ra.md	SINGULAR	HIGH	Egyptian		Egyptian (New Kingdom state theology)
amun.md	SINGULAR	HIGH	Egyptian		Egyptian (Theban, then state-religious)
amurru.md	MULTI_SAME_FAMILY	REVIEW	Mesopotamian		Akkadian / Amorite
an-sumerian.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Sumerian / Mesopotamian
anahit-armenian.md	SINGULAR	REVIEW	UNKNOWN		Armenian pre-Christian paganism
anahita-zoroastrian.md	SINGULAR	HIGH	Zoroastrian		Zoroastrian (Avestan)
anahita.md	SINGULAR	HIGH	Zoroastrian		Zoroastrian
ananke.md	SINGULAR	HIGH	Greek		Greek (Orphic and philosophical)
anansi.md	MULTI_SAME_FAMILY	HIGH	African		Akan (Ashanti) / African
anat.md	MULTI_SAME_FAMILY	HIGH	Canaanite		Canaanite / Ugaritic / (Egyptian under 19th Dynasty)
andvari.md	SINGULAR	HIGH	Norse		Norse
angel-of-the-presence.md	MULTI_SAME_FAMILY	HIGH	Israelite	received-in:canonical in [[tradition-ethiopian-orthodox-tewahedo]]	Second-Temple Jewish apocalyptic (Jubilees-specific) / canonical in [[tradition-ethiopian-orthodox-tewahedo]] (where Jubilees is full scripture)
angra-mainyu-ahriman.md	SINGULAR	HIGH	Zoroastrian		Zoroastrian
anput.md	SINGULAR	HIGH	Egyptian		Egyptian
anshar-kishar.md	SINGULAR	HIGH	Mesopotamian		Mesopotamian (Sumerian / Akkadian / Babylonian)
anthropos-gnostic.md	SINGULAR	HIGH	Gnostic		Sethian Gnosticism
anubis.md	SINGULAR	HIGH	Egyptian		Egyptian
anuket.md	SINGULAR	HIGH	Egyptian		Egyptian
anunnaki.md	SINGULAR	HIGH	Mesopotamian		Mesopotamian (Sumerian / Akkadian)
anyanwu.md	SINGULAR	HIGH	African		Igbo religion (Nigeria)
anzu.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Sumerian / Akkadian
apam-napat-vedic.md	SINGULAR	HIGH	Vedic-Hindu		Vedic
apam-napat-zoroastrian.md	MULTI_SAME_FAMILY	REVIEW	Zoroastrian		Zoroastrian (Avestan); a Proto-Indo-Iranian-inherited yazata
aphrodite-greek.md	SINGULAR	HIGH	Greek		Greek
apis-bull.md	SINGULAR	HIGH	Egyptian		Egyptian (Memphite cult)
apkallu.md	SINGULAR	HIGH	Mesopotamian		Mesopotamian
apollo.md	SINGULAR	HIGH	Greek		Greek
apophis.md	SINGULAR	HIGH	Egyptian		Egyptian
apsu.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Sumerian / Babylonian
apus.md	MULTI_SAME_FAMILY	HIGH	Andean		Quechua / Aymara / pan-Andean (pre-Inca origin, continuous practice into the 21st century)
aramazd.md	SINGULAR	REVIEW	UNKNOWN		Armenian pre-Christian paganism (Movses Khorenatsi, 5th c. CE)
arawn.md	SINGULAR	HIGH	Celtic		Welsh (Brittonic)
ares.md	SINGULAR	HIGH	Greek		Greek
ariadne.md	SINGULAR	HIGH	Greek		Greek religion (Cretan-Dionysian)
arianrhod.md	SINGULAR	HIGH	Celtic		Welsh (Brittonic)
armaros.md	MULTI_SAME_FAMILY	HIGH	Israelite	received-in:canonical in [[tradition-ethiopian-orthodox-tewahedo]]	Second-Temple Jewish apocalyptic (Enochic) / canonical in [[tradition-ethiopian-orthodox-tewahedo]]
artemis.md	SINGULAR	HIGH	Greek		Greek
aryaman.md	SINGULAR	HIGH	Vedic-Hindu		Vedic
asag.md	SINGULAR	HIGH	Mesopotamian		Sumerian
asase-yaa.md	SINGULAR	HIGH	African		Akan (Asante, Fante, and related Akan peoples)
asbeel.md	MULTI_SAME_FAMILY	HIGH	Israelite	received-in:canonical in [[tradition-ethiopian-orthodox-tewahedo]]	Second-Temple Jewish apocalyptic (Enochic) / canonical in [[tradition-ethiopian-orthodox-tewahedo]]
asclepius-greek.md	SINGULAR	HIGH	Greek		Greek (Thessalian / Epidaurian origin)
asha-vahishta.md	MULTI_SAME_FAMILY	REVIEW	Zoroastrian		Zoroastrian (Avestan and Pahlavi); the first-and-foremost of the six Amesha Spentas
asherah.md	MULTI_SAME_FAMILY	HIGH	Canaanite		Canaanite / Ugaritic
ashi.md	SINGULAR	HIGH	Zoroastrian		Zoroastrian
ashnan.md	SINGULAR	HIGH	Mesopotamian		Sumerian
ashur.md	SINGULAR	HIGH	Mesopotamian		Assyrian (Mesopotamian)
asmodeus.md	SINGULAR	HIGH	Israelite		Second Temple Judaism (Tobit)
astar-aksumite.md	SINGULAR	HIGH	Pre-Islamic-Arabian		Pre-Islamic South Arabian (Sabaean)
astarte-canaanite.md	MULTI_SAME_FAMILY	HIGH	Canaanite		Canaanite / Phoenician
astghik.md	SINGULAR	REVIEW	UNKNOWN		Armenian pre-Christian paganism
ataecina.md	MULTI_SAME_FAMILY	REVIEW	Celtic		Lusitanian Religion (pre-Roman Iberian) — Baetica and western Lusitania
atar.md	SINGULAR	HIGH	Zoroastrian		Zoroastrian (Avestan and Pahlavi)
aten.md	SINGULAR	HIGH	Egyptian		Egyptian (Amarna religion)
athena.md	SINGULAR	HIGH	Greek		Greek
athtar.md	SINGULAR	HIGH	Canaanite		Canaanite (Ugaritic; with South Arabian cognate)
atlas-titan.md	SINGULAR	HIGH	Greek		Greek religion
