file	class	conviction	origin_family	appearances	raw_tradition
aaron.md	MULTI_SAME_FAMILY	HIGH	Israelite		Israelite / pre-monarchic
abba-garima.md	SINGULAR	HIGH	Christian		[[tradition-ethiopian-orthodox-tewahedo]]
abba-libanos.md	NO_TRADITION				
abbot-suger-of-saint-denis.md	NO_TRADITION				
abd-al-malik.md	NO_TRADITION				
abd-al-qadir-al-jilani.md	NO_TRADITION				
abdullah-ibn-zubayr.md	NO_TRADITION				
abhinavagupta.md	MULTI_SAME_FAMILY	REVIEW	Vedic-Hindu		Hindu — Kashmir Shaivism (Trika); also classical Sanskrit aesthetics
abraham-abulafia.md	SINGULAR	HIGH	Rabbinic		Kabbalistic Judaism — Prophetic Kabbalah
abraham-patriarch.md	SINGULAR	HIGH	Israelite		Israelite religion (founder-figure)
abreha-of-himyar.md	NO_TRADITION				
abu-bakr.md	SINGULAR	HIGH	Islamic		Islam
abu-said-abi-l-khayr.md	NO_TRADITION				
abya-meqabyan.md	SINGULAR	HIGH	Christian		[[tradition-ethiopian-orthodox-tewahedo]] (canonical scripture only here)
achaemenid-persia.md	NO_TRADITION				
achilles.md	SINGULAR	HIGH	Greek		Hellenic (Iliad)
actun-tunichil-muknal.md	NO_TRADITION				
adam-hardy.md	NO_TRADITION				
adam.md	MULTI_CROSS_FAMILY	HIGH	Israelite	Christian | Islamic | Gnostic | Hermetic | Rabbinic | Mandaean	Hebrew Bible; Christian Bible; Quran; Sethian and Valentinian Gnosticism; Hermetism; Kabbalah; Mandaeism
adi-shankara.md	NO_TRADITION				
adolf-katzenellenbogen.md	NO_TRADITION				
adrian-snodgrass.md	NO_TRADITION				
aeschylus.md	MULTI_CROSS_FAMILY	MEDIUM	Greek	Mystery	Greek (Athenian dramatic tradition); deeply Eleusinian-religious by birth and initiation
afonso-i-of-portugal.md	NO_TRADITION				
agustin-lizarraga.md	NO_TRADITION				
ahmose-i.md	SINGULAR	HIGH	Egyptian		Ancient Egyptian (18th Dynasty founder)
aisha-bint-abi-bakr.md	MULTI_SAME_FAMILY	HIGH	Islamic		Islam — Sunnī (venerated; foundational hadith authority); Shīʿī (variously contested per her role at the Battle of the Camel against ʿAlī)
akbar-mughal.md	NO_TRADITION				
akhenaten.md	SINGULAR	HIGH	Egyptian		Egyptian (Amarna religion)
akiva-ben-yosef.md	SINGULAR	HIGH	Israelite		Tannaitic Judaism
akkad.md	NO_TRADITION				
al-andalus.md	NO_TRADITION				
al-biruni.md	SINGULAR	HIGH	Islamic		Islamic scholarship (Khwarazmian / Ghaznavid court)
al-bukhari.md	NO_TRADITION				
al-farabi.md	MULTI_SAME_FAMILY	HIGH	Islamic		Islam (loose Ismāʿīlī / Shīʿī sympathies sometimes attributed but contested); Falsafa (Greek-Arabic philosophical tradition)
al-ghazali.md	MULTI_SAME_FAMILY	HIGH	Islamic		Sunni Islam — Shāfiʿī jurisprudence / Ash'arite theology / Sufism
al-hajjaj-ibn-yusuf.md	NO_TRADITION				
al-hakim-bi-amr-allah.md	SINGULAR	REVIEW	UNKNOWN		[[tradition-ismailism]]
al-hallaj.md	SINGULAR	HIGH	Islamic		Sufi Islam — early ecstatic Sufism
al-junayd.md	NO_TRADITION				
al-khidr.md	SINGULAR	HIGH	Islamic		Islam (Quranic and Sufi mystical tradition)
