path	doc_id	role_tokens	source	confidence	tradition	rationale
04_persons/aaron.md	aaron		needs-manual-review	low	Israelite / pre-monarchic	
04_persons/abba-garima.md	abba-garima	founder	alias-match:alias-split	high	[[tradition-ethiopian-orthodox-tewahedo]	
04_persons/abba-libanos.md	abba-libanos		needs-manual-review	low		
04_persons/abbot-suger-of-saint-denis.md	abbot-suger-of-saint-denis		needs-manual-review	low		
04_persons/abd-al-malik.md	abd-al-malik		needs-manual-review	low		
04_persons/abd-al-qadir-al-jilani.md	abd-al-qadir-al-jilani		needs-manual-review	low		
04_persons/abdullah-ibn-zubayr.md	abdullah-ibn-zubayr		needs-manual-review	low		
04_persons/abhinavagupta.md	abhinavagupta	tantric-acharya,acharya-hindu,philosopher-religious	contested-ratified (T1)	high	Hindu — Kashmir Shaivism (Trika); also c	Trika Shaiva master + acharya in Kashmiri Shaiva sense + philosopher of aesthetics (rasa theory).
04_persons/abraham-abulafia.md	abraham-abulafia	mystic,kabbalist	alias-match:alias-split	high	Kabbalistic Judaism — Prophetic Kabbalah	
04_persons/abraham-patriarch.md	abraham-patriarch		needs-manual-review	low	Israelite religion (founder-figure)	
04_persons/abreha-of-himyar.md	abreha-of-himyar		needs-manual-review	low		
04_persons/abu-bakr.md	abu-bakr		needs-manual-review	low	Islam	
04_persons/abu-said-abi-l-khayr.md	abu-said-abi-l-khayr		needs-manual-review	low		
04_persons/abya-meqabyan.md	abya-meqabyan		needs-manual-review	low	[[tradition-ethiopian-orthodox-tewahedo]	
04_persons/achaemenid-persia.md	achaemenid-persia		needs-manual-review	low		
04_persons/achilles.md	achilles		needs-manual-review	low	Hellenic (Iliad)	
04_persons/actun-tunichil-muknal.md	actun-tunichil-muknal		needs-manual-review	low		
04_persons/adam-hardy.md	adam-hardy		needs-manual-review	low		
04_persons/adam.md	adam		needs-manual-review	low	Hebrew Bible; Christian Bible; Quran; Se	
04_persons/adi-shankara.md	adi-shankara		needs-manual-review	low		
04_persons/adolf-katzenellenbogen.md	adolf-katzenellenbogen		needs-manual-review	low		
04_persons/adrian-snodgrass.md	adrian-snodgrass		needs-manual-review	low		
04_persons/aeschylus.md	aeschylus	author-secular	heuristic:author-secular	medium	Greek (Athenian dramatic tradition); dee	
04_persons/afonso-i-of-portugal.md	afonso-i-of-portugal		needs-manual-review	low		
04_persons/agustin-lizarraga.md	agustin-lizarraga		needs-manual-review	low		
04_persons/ahmose-i.md	ahmose-i	king,founder	alias-match:alias-split	high	Ancient Egyptian (18th Dynasty founder)	
04_persons/aisha-bint-abi-bakr.md	aisha-bint-abi-bakr		needs-manual-review	low	Islam — Sunnī (venerated; foundational h	
04_persons/akbar-mughal.md	akbar-mughal	emperor,religious-reformer	contested-ratified (T1)	high		Din-i-Ilahi was internal doctrinal innovation.
04_persons/akhenaten.md	akhenaten	pharaoh,religious-reformer,founder	contested-ratified (T1)	high	Egyptian (Amarna religion)	Per Auditor A 2026-05-31 — Atenism IS a new tradition (failed/suppressed but founded). Assmann 1997/
04_persons/akiva-ben-yosef.md	akiva-ben-yosef	rabbi-tannaitic	heuristic:rabbi-tannaitic	medium	Tannaitic Judaism	
04_persons/akkad.md	akkad		needs-manual-review	low		
04_persons/al-andalus.md	al-andalus		needs-manual-review	low		
04_persons/al-biruni.md	al-biruni		needs-manual-review	low	Islamic scholarship (Khwarazmian / Ghazn	
04_persons/al-bukhari.md	al-bukhari		needs-manual-review	low		
04_persons/al-farabi.md	al-farabi		needs-manual-review	low	Islam (loose Ismāʿīlī / Shīʿī sympathies	
04_persons/al-ghazali.md	al-ghazali	theologian	alias-match:alias-split	high	Sunni Islam — Shāfiʿī jurisprudence / As	
04_persons/al-hajjaj-ibn-yusuf.md	al-hajjaj-ibn-yusuf		needs-manual-review	low		
04_persons/al-hakim-bi-amr-allah.md	al-hakim-bi-amr-allah		needs-manual-review	low	[[tradition-ismailism]]	
04_persons/al-hallaj.md	al-hallaj		needs-manual-review	low	Sufi Islam — early ecstatic Sufism	
04_persons/al-junayd.md	al-junayd		needs-manual-review	low		
04_persons/al-khidr.md	al-khidr		needs-manual-review	low	Islam (Quranic and Sufi mystical traditi	
04_persons/al-khwarizmi.md	al-khwarizmi		needs-manual-review	low	Islamic Golden Age (Abbasid Caliphate, B	
04_persons/al-kindi.md	al-kindi		needs-manual-review	low	Islam (Muʿtazilī theological alignment);	
04_persons/al-kirmani.md	al-kirmani		needs-manual-review	low		
04_persons/al-muizz-fatimid.md	al-muizz-fatimid		needs-manual-review	low		
04_persons/al-razi.md	al-razi		needs-manual-review	low		
04_persons/al-shafii.md	al-shafii		needs-manual-review	low	Sunni Islam — Shāfiʿī school of jurispru	
04_persons/al-sharif-al-radi.md	al-sharif-al-radi		needs-manual-review	low		
04_persons/al-tabari.md	al-tabari		needs-manual-review	low	Sunni Islam	
04_persons/albert-einstein.md	albert-einstein		needs-manual-review	low	Modern physics / secular Jewish cultural	
04_persons/alberto-ruz-lhuillier.md	alberto-ruz-lhuillier		needs-manual-review	low		
04_persons/albertus-magnus.md	albertus-magnus	monastic-christian-western	heuristic:monastic-western	medium	Latin Christianity (Dominican; scholasti	
04_persons/alcuin-of-york.md	alcuin-of-york		needs-manual-review	low	Latin Christian (Anglo-Saxon → Frankish)	
04_persons/aldous-huxley.md	aldous-huxley	author-secular	heuristic:author-secular	medium	English literature / Vedanta / perennial	
04_persons/aleister-crowley.md	aleister-crowley	founder,prophet-non-abrahamic,magus,mystic-syncretic	contested-ratified (T1)	high	Thelema	Per Auditor A's 2026-05-31 NRM-studies framing (Bogdan & Starr 2012). Crowley's self-claim as 'Proph
04_persons/alexander-cunningham.md	alexander-cunningham		needs-manual-review	low		
04_persons/alexander-the-great.md	alexander-the-great	king,emperor	alias-match:alias-split	high	Hellenic / Argead Macedonian (with cult-	
04_persons/alexios-iv.md	alexios-iv		needs-manual-review	low		
04_persons/alfred-maudslay.md	alfred-maudslay		needs-manual-review	low		
04_persons/ali-al-hadi.md	ali-al-hadi		needs-manual-review	low	Islam (Twelver Shi'a Tenth Imam)	
04_persons/ali-al-rida.md	ali-al-rida		needs-manual-review	low	Islam (Twelver Shi'a Eighth Imam)	
04_persons/ali-ibn-abi-talib.md	ali-ibn-abi-talib		needs-manual-review	low	Islam (universally venerated companion; 	
04_persons/ali-zayn-al-abidin.md	ali-zayn-al-abidin		needs-manual-review	low	Islam (Shi'a Fourth Imam)	
04_persons/allan-temko.md	allan-temko		needs-manual-review	low		
04_persons/amaterasu-cave-myth.md	amaterasu-cave-myth		needs-manual-review	low		
04_persons/ambedkar.md	ambedkar		needs-manual-review	low		
04_persons/ambrose-of-milan.md	ambrose-of-milan	bishop-christian,theologian	alias-match:alias-split	high	Patristic Christian (Latin)	
04_persons/amelius.md	amelius		needs-manual-review	low		
04_persons/amenhotep-iii.md	amenhotep-iii		needs-manual-review	low		
04_persons/ammi.md	ammi		needs-manual-review	low		
04_persons/ammonas-letters.md	ammonas-letters		needs-manual-review	low		
04_persons/ammonius-saccas.md	ammonius-saccas		needs-manual-review	low	Neoplatonic / Alexandrian synthesis	
04_persons/amos-prophet.md	amos-prophet	prophet-abrahamic	alias-match:alias-exact	high	Israelite (pre-exilic)	
04_persons/an-lushan.md	an-lushan		needs-manual-review	low		
04_persons/ananda-disciple.md	ananda-disciple	disciple-christian	alias-match:alias-split	high	Buddhism (pre-sectarian; foundational to	
04_persons/anaxagoras.md	anaxagoras		needs-manual-review	low		
04_persons/anaximander.md	anaximander	presocratic-philosopher	heuristic:presocratic-philosopher	medium	Pre-Socratic Greek (Milesian school)	
04_persons/anaximenes.md	anaximenes	presocratic-philosopher	heuristic:presocratic-philosopher	medium	Pre-Socratic Greek (Milesian school)	
04_persons/andal.md	andal	author-secular	heuristic:author-secular	medium	Hindu Bhakti (Tamil Vaishnava — Alvar tr	
04_persons/andre-jean-festugiere.md	andre-jean-festugiere	monastic-christian-western	heuristic:monastic-western	medium	Comparative-religion academic / Dominica	
04_persons/andrew-apostle.md	andrew-apostle	apostle-christian	alias-match:alias-exact	high	earliest Christianity	
04_persons/angkor-thom-bayon.md	angkor-thom-bayon		needs-manual-review	low		
04_persons/anna-sofaer.md	anna-sofaer		needs-manual-review	low		
04_persons/annie-besant.md	annie-besant	religious-reformer	alias-match:alias-split	high	Theosophy	
04_persons/anselm-of-canterbury.md	anselm-of-canterbury	archbishop-christian,theologian	alias-match:alias-split	high	Latin Christian — early scholastic	
04_persons/anthemius-of-tralles.md	anthemius-of-tralles		needs-manual-review	low		
04_persons/anthony-aveni.md	anthony-aveni		needs-manual-review	low		
04_persons/antiochus-iv-epiphanes.md	antiochus-iv-epiphanes	king	alias-match:alias-split	high	Seleucid Empire	
04_persons/anton-lavey.md	anton-lavey	founder	contested-ratified (T1)	high	LaVeyan Satanism	Founded Church of Satan 1966; NRM-studies recognizes (Lewis 2001).
04_persons/antoni-gaudi.md	antoni-gaudi		needs-manual-review	low		
04_persons/antonio-augusto-carvalho-monteiro.md	antonio-augusto-carvalho-monteiro		needs-manual-review	low		
04_persons/antonio-carvalho-monteiro.md	antonio-carvalho-monteiro		needs-manual-review	low	[[tradition-portuguese-hermeticism]]	
04_persons/antonio-da-sangallo-the-younger.md	antonio-da-sangallo-the-younger		needs-manual-review	low		
04_persons/antonio-vieira.md	antonio-vieira	monastic-christian-western	heuristic:monastic-western	medium	[[tradition-portuguese-hermeticism]] / [	
04_persons/antony-the-great.md	antony-the-great		needs-manual-review	low	Patristic Christian (Egyptian Coptic)	
04_persons/apelles.md	apelles		needs-manual-review	low	Marcionite → Apellean	
04_persons/aphrahat.md	aphrahat		needs-manual-review	low	Syriac Christian (Persian Sassanid terri	
04_persons/apollinaris-of-laodicea.md	apollinaris-of-laodicea	bishop-christian	alias-match:alias-split	high	Patristic Christian (anti-Arian, condemn	
04_persons/apollodorus-of-damascus.md	apollodorus-of-damascus		needs-manual-review	low		
04_persons/apollonius-of-tyana.md	apollonius-of-tyana	mystic	alias-match:alias-split	high	Neo-Pythagorean Greek philosophy with th	
04_persons/apollos.md	apollos		needs-manual-review	low	earliest Christianity	
04_persons/april-deconick.md	april-deconick		needs-manual-review	low	Comparative religion (academic) / Gnosti	
04_persons/apu-salkantay.md	apu-salkantay		needs-manual-review	low		
04_persons/apu-veronica.md	apu-veronica		needs-manual-review	low		
04_persons/apuleius-of-madaura.md	apuleius-of-madaura	author-secular	heuristic:author-secular	medium	Middle Platonist philosophy / Latin lite	
04_persons/apuleius.md	apuleius	author-secular	heuristic:author-secular	medium	Middle Platonism; Latin literary culture	
04_persons/aquila.md	aquila		needs-manual-review	low	earliest Christianity	
04_persons/archbishop-damianos-of-sinai.md	archbishop-damianos-of-sinai		needs-manual-review	low		
04_persons/archbishop-konrad-von-hochstaden.md	archbishop-konrad-von-hochstaden		needs-manual-review	low		
04_persons/archbishop-makarios-iii-of-sinai.md	archbishop-makarios-iii-of-sinai		needs-manual-review	low		
04_persons/archytas.md	archytas		needs-manual-review	low	Pythagoreanism	
04_persons/arganthonius.md	arganthonius	king	heuristic:king	medium	Tartessian Civilization	
04_persons/aristides-of-athens.md	aristides-of-athens		needs-manual-review	low	Patristic Christian (proto-orthodox)	
04_persons/aristotle.md	aristotle		needs-manual-review	low	Greek philosophy — Peripatetic / Lyceum	
04_persons/arius.md	arius		needs-manual-review	low	Christian (Alexandrian; condemned)	
04_persons/arnold-of-zwolle.md	arnold-of-zwolle		needs-manual-review	low		
04_persons/arnold-wolff.md	arnold-wolff		needs-manual-review	low		
04_persons/arthur-darby-nock.md	arthur-darby-nock		needs-manual-review	low	Comparative-religion academic / classica	
04_persons/asanga.md	asanga		needs-manual-review	low	Mahayana Buddhism (Yogācāra/Cittamātra s	
04_persons/ashoka.md	ashoka	emperor	heuristic:emperor	medium	tradition-buddhism	
04_persons/ashurbanipal.md	ashurbanipal	king	alias-match:alias-split	high	Neo-Assyrian	
04_persons/asoka-maurya.md	asoka-maurya	king	alias-match:alias-split	high	Buddhism (Mauryan state-patronage; non-s	
04_persons/astronomical-alignment-calendar-architecture.md	astronomical-alignment-calendar-architecture		needs-manual-review	low		
04_persons/athanasius-kircher.md	athanasius-kircher	monastic-christian-western	heuristic:monastic-western	medium	Jesuit universal-history scholarship / C	
04_persons/athanasius.md	athanasius	bishop-christian	alias-match:alias-split	high	Patristic Christian (Alexandrian)	
04_persons/athenagoras-of-athens.md	athenagoras-of-athens		needs-manual-review	low	Patristic Christian (proto-orthodox)	
04_persons/atisa.md	atisa	religious-reformer	alias-match:alias-split	high	Indian Mahāyāna-Vajrayāna; Tibetan Buddh	
04_persons/atrahasis-flood-hero.md	atrahasis-flood-hero	king	alias-match:alias-split	high	Akkadian / Mesopotamian	
04_persons/augustine-of-hippo.md	augustine-of-hippo	bishop-christian,theologian	alias-match:alias-split	high	Patristic Christian (Latin)	
04_persons/augustus-roman-emperor.md	augustus-roman-emperor		needs-manual-review	low		
04_persons/aurangzeb-emperor.md	aurangzeb-emperor	guru-sikh,emperor	heuristic:guru-sikh+emperor	medium		
